,filename,imageID,xy_pix_size,z_pix_size,PinholeSize,ch_size,channels
0,20160526_002223.mvd2 [20160526_CPTI-002223_MB_larvae1_1],151287,0.13888805165151769,0.35,0,4,"[0, 0, 0, 0, 'Far-Red 7', 'GFP', 'DAPI', 'RFP']"
1,20160526_002223.mvd2 [20160526_CPTI-002223_MB_larvae2_3],151289,0.13888805165151769,0.35,0,4,"[0, 0, 0, 0, 'Far-Red 7', 'GFP', 'DAPI', 'RFP']"
2,20160712_Atpalpha_Venus_Dlg_DAPI_20X_2.ome.tiff,169064,0.418,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
3,20160712_Atpalpha_Venus_Dlg_DAPI_MB_2.ome.tiff,169066,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
4,20160712_Atpalpha_Venus_Dlg_DAPI_NB_2.ome.tiff,169069,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
5,20160712_Atpalpha_Venus_Dlg_DAPI_OL_2.ome.tiff,169071,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
6,20160712_Atpalpha_Venus_Dlg_DAPI_VNC_2.ome.tiff,169073,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
7,20160712_Shot_Venus_Dlg_DAPI_20X_1.ome.tiff,169090,0.418,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
8,20160715_Amph_Venus_Dlg_Syp_DAPI_20X_2.ome.tiff,169391,0.418,0.5,0,3,"[0, 0, 0, 0, 'RFP', 'GFP', 'DAPI', 0]"
9,20160715_Amph_Venus_Dlg_Syp_DAPI_MB_2.ome.tiff,169393,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
10,20160715_Amph_Venus_Dlg_Syp_DAPI_NB_2.ome.tiff,169395,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
11,20160715_Amph_Venus_Dlg_Syp_DAPI_OL_2.ome.tiff,169397,0.139,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
12,20160715_Amph_Venus_Dlg_Syp_DAPI_VNC_1.ome.tiff,169398,0.139,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
13,20160715_CaMKII_Venus_Dlg_Syp_DAPI_20X_1.ome.tiff,169400,0.418,0.5,0,3,"[0, 0, 0, 0, 'RFP', 'GFP', 'DAPI', 0]"
14,20160721_Dlg1_Venus_Dlg_Syp_DAPI_20X_1.ome.tiff,170280,0.418,0.5,0,3,"[0, 0, 0, 0, 'RFP', 'GFP', 'DAPI', 0]"
15,20160721_Dlg1_Venus_Dlg_Syp_DAPI_MB_2.ome.tiff,170294,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
16,20160721_Dlg1_Venus_Dlg_Syp_DAPI_NB_2.ome.tiff,170301,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
17,20160721_Dlg1_Venus_Dlg_Syp_DAPI_OL_2.ome.tiff,170307,0.139,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
18,20160721_Dlg1_Venus_Dlg_Syp_DAPI_VNC_2.ome.tiff,170310,0.139,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
19,20160726_NetA_Venus_Dlg_Syp_DAPI_20X_1.ome.tiff,170432,0.418,0.5,0,3,"[0, 0, 0, 0, 'RFP', 'GFP', 'DAPI', 0]"
20,20160726_NetA_Venus_Dlg_Syp_DAPI_MB_2.ome.tiff,170436,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
21,20160726_NetA_Venus_Dlg_Syp_DAPI_NB_1.ome.tiff,170437,0.139,0.35,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
22,20160726_NetA_Venus_Dlg_Syp_DAPI_OL_1.ome.tiff,170439,0.139,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
23,20160726_NetA_Venus_Dlg_Syp_DAPI_VNC_1.ome.tiff,170441,0.139,0.5,0,4,"[0, 0, 0, 0, 'Far Red', 'RFP', 'GFP', 'DAPI']"
24,20160726_Tm1_Venus_Dlg_Syp_DAPI_20X_2.ome.tiff,170529,0.418,0.5,0,3,"[0, 0, 0, 0, 'RFP', 'GFP', 'DAPI', 0]"
