filename,original_file,ch1,ch2,ch3,ch4,xy_pix,z_pix
382793.ome.tiff,2017oct17_001430(kat80)_20x_YFP_DLG_syp_test1overview2%lasers.czi,405,561,488,0,1.03783228,3
390478.ome.tiff,2017oct23_001180(BNIP3)_control_60x_CB_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
390479.ome.tiff,2017oct23_001180(BNIP3)_control_60x_MB_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
390480.ome.tiff,2017oct23_001180(BNIP3)_control_60x_OL_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
390483.ome.tiff,2017oct23_001180(BNIP3)_test2_20x_DAPI_syp_DLG_YFP.oir,420,570,500,0,1.242961139,3
390484.ome.tiff,2017oct23_001180(BNIP3)_test2_60x_CB_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
390486.ome.tiff,2017oct23_001180(BNIP3)_test2_60x_MB_DAPI_syp_DLG_YFP_0001.oir,420,650,570,500,0.41432038,1.5
390487.ome.tiff,2017oct23_001180(BNIP3)_test2_60x_OL_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
390989.ome.tiff,2017oct25_001580(Pka-R2)_control_60x_CB_DAPI_syp_DLG_YFP_lowerlaser_0001.oir,420,650,570,500,0.41432038,1.5
390990.ome.tiff,2017oct25_001580(Pka-R2)_control_60x_MB_DAPI_syp_DLG_YFP_lowerlaser.oir,420,650,570,500,0.41432038,1.5
390991.ome.tiff,2017oct25_001580(Pka-R2)_control_60x_OL_DAPI_syp_DLG_YFP_lowerlaser.oir,420,650,570,500,0.41432038,1.5
390992.ome.tiff,2017oct25_001580(Pka-R2)_control_60x_VNC_DAPI_syp_DLG_YFP_lowerlaser.oir,420,650,570,500,0.41432038,1.5
390994.ome.tiff,2017oct25_001580(Pka-R2)_test_20x_DAPI_syp_DLG_YFP_lowerlaser.oir,420,570,500,0,1.242961139,3
390995.ome.tiff,2017oct25_001580(Pka-R2)_test_60x_CB_DAPI_syp_DLG_YFP_lowerlaser.oir,420,650,570,500,0.41432038,1.5
390996.ome.tiff,2017oct25_001580(Pka-R2)_test_60x_MB_DAPI_syp_DLG_YFP_lowerlaser.oir,420,650,570,500,0.41432038,1.5
390997.ome.tiff,2017oct25_001580(Pka-R2)_test_60x_OL_DAPI_syp_DLG_YFP_lowerlaser.oir,420,650,570,500,0.41432038,1.5
390998.ome.tiff,2017oct25_001580(Pka-R2)_test_60x_VNC_DAPI_syp_DLG_YFP_lowerlaser.oir,420,650,570,500,0.41432038,1.5
392276.ome.tiff,2017oct31_001056(CG15307)_control_60x_CB_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
392278.ome.tiff,2017oct31_001056(CG15307)_control_60x_OL_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
392280.ome.tiff,2017oct31_001056(CG15307)_test_20x_DAPI_syp_DLG_YFP.oir,420,570,500,0,1.242961139,3
392281.ome.tiff,2017oct31_001056(CG15307)_test_60x_CB_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
392282.ome.tiff,2017oct31_001056(CG15307)_test_60x_MB_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
392283.ome.tiff,2017oct31_001056(CG15307)_test_60x_OL_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.41432038,1.5
400669.ome.tiff,20171111 sd.mvd2 [20171111_CPTI_14-3-3-epsilon_OL_dorsal_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400670.ome.tiff,20171111 sd.mvd2 [20171111_CPTI_14-3-3-epsilon_AL_dorsal_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400671.ome.tiff,20171111 sd.mvd2 [20171111_CPTI_14-3-3-epsilon_MB_dorsal_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400672.ome.tiff,20171111 sd.mvd2 [20171111_CPTI_14-3-3-epsilon_MB_ventral_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400673.ome.tiff,20171111 sd.mvd2 [20171111_CPTI_14-3-3-epsilon_VNC_ventral_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400674.ome.tiff,20171111 sd.mvd2 [20171111_OrR_CPTI_14-3-3-epsilon_OL_dorsal_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400675.ome.tiff,20171111 sd.mvd2 [20171111_OrR_CPTI_14-3-3-epsilon_AL_dorsal_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400676.ome.tiff,20171111 sd.mvd2 [20171111_OrR_CPTI_14-3-3-epsilon_MB_dorsal_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400677.ome.tiff,20171111 sd.mvd2 [20171111_OrR_CPTI_14-3-3-epsilon_MB_ventral_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
400678.ome.tiff,20171111 sd.mvd2 [20171111_OrR_CPTI_14-3-3-epsilon_VNC_dorsal_60x],DAPI,GFP,RFP,Cy5,0.138888052,0.5
402006.ome.tiff,2017nov13_000609(Elf)_test_60x_CB_NBs_1024_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
402008.ome.tiff,2017nov13_000609(Elf)_test2_20x_1024_DAPI_syp_DLG_YFP.oir,420,570,500,0,0.621480569,3
402009.ome.tiff,2017nov13_000609(Elf)_control_60x_Ol_slower_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
402010.ome.tiff,2017nov13_000609(Elf)_control_60x_VNC_slower_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
402011.ome.tiff,2017nov13_000609(Elf)_test_60x_CB_anlagen_slower_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
402015.ome.tiff,2017nov13_000609(Elf)_test2_60x_Ol_slower_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
402016.ome.tiff,2017nov13_000609(Elf)_test2_60x_VNC_slower_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
403223.ome.tiff,20171113_CPTI_14-3-3epsilon_overview_dorsal_20x.oir,420,570,500,0,1.242961139,3
403330.ome.tiff,2017nov15_0001414(Qsm)_20x_DAPI_syp_DLG_YFP.oir,420,570,500,0,0.621480569,3
403341.ome.tiff,2017nov15_0001414(Qsm)_60x_test_CBnbs_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
404308.ome.tiff,2017nov17_000609(Elf)_60x_MB_cont_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
404309.ome.tiff,2017nov17_000609(Elf)_60x_MB_test_DAPI_syp_DLG_YFP.oir,420,650,570,500,0.20716019,1.5
404360.ome.tiff,20171119_OrR_CPTI_sm_OL_dorsal_60x.oir,420,650,570,500,0.165728152,1.5
404361.ome.tiff,20171119_CPTI_sm_NB_ventral_60x.oir,420,650,570,500,0.159353992,0.5
404362.ome.tiff,20171119_OrR_CPTI_sm_MB_ventral_60x.oir,420,650,570,500,0.115088994,1.5
404364.ome.tiff,20171119_CPTI_sm_MB_dorsal_60x.oir,420,650,570,500,0.103580095,1.5
404365.ome.tiff,20171119_OrR_CPTI_sm_MB_dorsal_60x.oir,420,650,570,500,0.115088994,1.5
404366.ome.tiff,20171119_CPTI_sm_OL_dorsal_60x.oir,420,650,570,500,0.175559483,1.5
404367.ome.tiff,20171119_OrR_CPTI_sm_NB_ventral_60x.oir,420,650,570,500,0.159353992,0.5
404368.ome.tiff,20171119_CPTI_sm_MB_ventral_60x.oir,420,650,570,500,0.129475119,1.5
